 gid |   full_id    |      name       |         name_en          |    name_th     | ele |          st_astext           
 106 | n5108911510  | บ้านแม่แจ๊ะ        | Ban Mae Chae             | บ้านแม่แจ๊ะ       |     | POINT(98.0218715 18.7407933)
 180 | n10576624148 |                 | Ban Mae Chaewang         |                |     | POINT(97.961007 17.576828)
 132 | n5125945096  | บ้านแม่จอ         | Ban Mae Cho              |                |     | POINT(98.0296266 18.6423302)
   6 | n801672733   | บ้านแม่หาร        | Ban Mae Han              |                |     | POINT(97.8903 18.21)
  85 | n3808633828  | บ้านแม่หาด        | Ban Mae Hat              | บ้านแม่หาด       |     | POINT(98.0329864 18.792253)
  28 | n1862741412  | บ้านแม่เหาะ       | Ban Mae Ho               |                |     | POINT(98.0716958 18.154428)
 113 | n5110805944  | บ้านแม่อีแลบ       | Ban Mae I Laep           |                |     | POINT(98.3074425 19.3304826)
  29 | n1862741413  | บ้านแม่กะไน       | Ban Mae Ka Nai           |                |     | POINT(98.05278 18.11214)
  53 | n2429277411  | บ้านแม่คะตวน      | Ban Mae Kha Tuan         |                |     | POINT(97.92657 17.9572409)
 105 | n5108910755  | บ้านแม่กิ๊          | Ban Mae Ki               | บ้านแม่กิ๊         |     | POINT(97.8504218 18.6479655)
  69 | n2854524383  | บ้านแม่แล         | Ban Mae Lae              |                |     | POINT(98.1144703 18.4007559)
  58 | n2662843077  | บ้านแม่ลากา       | Ban Mae Laka             |                |     | POINT(97.9972368 18.6833052)
  34 | n2240086145  | บ้านแม่ลาหลวง     | Ban Mae La Luang         |                | 348 | POINT(97.9342047 18.5310454)
  96 | n4590300983  | บ้านแม่ละนา       | Ban Mae Lanna            | บ้านแม่ละนา      |     | POINT(98.2156442 19.5922011)
 115 | n5112227931  | บ้านนาจลอง       | Ban Mae Na Chalong       |                |     | POINT(98.4423744 19.3946944)
 114 | n5112188968  | บ้านแม่นาเติง      | Ban Mae Na Toeng         |                |     | POINT(98.4214639 19.3929755)
  35 | n2240086164  | บ้านแม่งะ         | Ban Mae Nga              |                |     | POINT(98.0298208 18.3806278)
 136 | n5130242031  | บ้านแม่ปาง        | Ban Mae Pang             |                |     | POINT(97.9485315 18.462418)
  86 | n3815245857  | บ้านแม่แพะ        | Ban Mae Phae             |                |     | POINT(97.6906355 18.4604946)
  78 | n2948528370  | บ้านแม่ปิง         | Ban Mae Ping             | บ้านแม่ปิง        |     | POINT(98.4664818 19.2882484)
  36 | n2240086170  | บ้านแม่สะกั๊วะ      | Ban Mae Sakua            |                |     | POINT(98.00922 18.34961)
 117 | n5114617238  | บ้านแม่สะงา       | Ban Mae Sa Nga           |                |     | POINT(97.9549714 19.4147243)
  37 | n2240086191  | บ้านแม่สะปึ๋งเหนือ   | Ban Mae Sapueng Nuea     |                |     | POINT(98.0430059 18.440521)
  38 | n2240086200  | บ้านแม่สะปึ๋งใต้     | Ban Mae Sapueng Tai      |                |     | POINT(98.02356 18.39944)
